,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
#CLASS,Control,Control,Control,Control,Control,Control,Control,Control,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected
ENSG00000117305,148,104,258,148,119,122,202,157,191,107,125,228,137,136,225,442,126
ENSG00000117308,47,26,162,21,22,13,33,60,30,47,58,50,31,20,73,185,43
ENSG00000117322,19,7,32,14,12,14,23,8,28,27,61,34,56,17,40,65,30
ENSG00000117335,381,214,358,215,100,301,512,61,401,230,290,880,691,172,906,601,589
ENSG00000117360,189,122,271,212,93,122,238,144,193,165,195,323,251,147,285,544,163
ENSG00000117362,585,316,974,222,172,351,520,208,346,256,310,694,374,301,585,915,333
ENSG00000117385,200,52,336,102,51,87,147,119,103,116,103,176,129,116,158,302,97
ENSG00000117394,1304,692,2651,5263,1613,832,1181,3167,5506,895,1222,1223,962,2515,1483,1326,2467
ENSG00000117395,308,96,656,348,92,189,120,235,186,72,141,190,162,103,161,472,263
ENSG00000117399,516,22,1078,405,67,30,120,154,274,222,37,23,33,50,82,235,173
ENSG00000117400,6,6,6,9,7,8,5,11,10,6,5,7,10,7,3,58,5
ENSG00000117407,4,2,26,3,0,1,0,0,0,1,0,0,0,0,4,63,0
ENSG00000117408,121,40,122,134,66,63,77,123,129,116,107,97,60,141,110,387,50
ENSG00000117410,1156,1136,1714,1341,998,907,1651,1197,1860,878,931,1804,1494,1018,1767,1880,1095
ENSG00000117411,303,22,597,168,31,20,29,54,132,44,43,39,15,20,49,145,42
ENSG00000117419,195,53,387,79,80,104,171,106,145,84,84,127,114,128,119,377,64
ENSG00000117425,5,3,5,15,1,7,5,4,7,4,6,10,8,5,3,32,5
ENSG00000117448,280,219,365,154,208,112,228,181,225,126,218,421,163,190,231,541,73
ENSG00000117450,2687,937,3588,1791,991,978,1905,1145,3045,1544,1652,475,1219,990,1272,1828,1152
ENSG00000117461,11,2,7,5,2,4,13,3,6,4,4,7,6,3,6,21,7
ENSG00000117472,0,1,1,1,1,3,3,2,0,0,0,2,0,5,1,11,1
ENSG00000117475,37,25,49,57,13,34,59,26,59,38,40,44,46,24,69,84,50
ENSG00000117477,1,1,2,3,0,2,3,0,3,0,1,2,2,1,3,5,1
ENSG00000117479,8,2,5,2,2,4,8,0,5,3,4,4,5,2,16,31,5
ENSG00000117480,27,51,40,28,33,65,86,57,87,60,70,79,68,41,88,177,64
ENSG00000117481,42,19,92,23,25,38,56,22,40,38,35,81,75,26,45,161,54
ENSG00000117500,119,54,178,187,37,136,180,38,141,93,137,275,163,62,325,214,188
ENSG00000117501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117505,109,56,180,177,29,60,78,29,149,51,51,114,89,38,168,176,121
ENSG00000117507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117519,412,8,883,70,9,12,8,15,23,19,19,24,10,19,16,330,18
ENSG00000117523,319,144,165,301,282,127,291,524,267,437,233,690,525,159,288,1304,313
ENSG00000117525,15,0,21,0,0,0,1,1,0,0,0,1,0,0,1,48,1
ENSG00000117528,32,20,47,24,11,22,54,7,34,30,27,54,38,12,74,76,35
ENSG00000117533,63,48,84,178,43,44,46,41,91,60,49,74,107,18,52,78,86
ENSG00000117543,132,102,206,117,77,129,262,83,184,145,141,122,230,117,216,455,147
ENSG00000117560,14,10,28,18,7,26,13,13,7,28,25,47,20,44,67,41,26
ENSG00000117569,17,15,16,25,5,20,41,6,17,35,67,20,44,16,62,81,23
ENSG00000117586,6,3,3,8,5,4,5,0,8,5,2,8,12,4,9,8,11
ENSG00000117592,4000,5137,7916,7559,6602,5701,3918,9238,6306,4431,4047,13574,5871,3982,7304,4330,7664
ENSG00000117593,3,1,3,2,1,1,1,1,2,1,2,3,1,1,2,3,3
ENSG00000117594,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,14,0
ENSG00000117595,0,0,0,1,1,1,0,1,5,1,1,2,0,1,0,22,4
ENSG00000117597,14,8,24,9,4,12,15,4,13,10,12,24,15,8,11,33,10
ENSG00000117598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117601,0,0,0,14,2,1,5,2,5,5,3,16,8,0,6,10,9
ENSG00000117602,58,58,43,43,23,77,183,12,55,62,88,90,141,39,106,139,66
ENSG00000117614,313,200,393,450,107,133,229,234,386,207,225,341,222,124,263,503,225
ENSG00000117616,910,425,1202,1639,364,574,1020,433,1523,706,776,1082,1226,439,1918,1426,1320
ENSG00000117620,7,6,7,5,2,6,9,5,6,6,9,11,8,4,12,18,6
ENSG00000117625,551,230,507,743,480,345,457,397,630,330,422,383,532,326,349,477,362
ENSG00000117632,1780,254,3803,715,197,260,582,822,812,352,500,289,395,449,1028,1778,321
ENSG00000117640,208,119,343,177,104,172,236,173,204,171,215,325,239,204,299,786,218
ENSG00000117643,65,101,59,202,63,134,348,70,107,118,228,145,235,134,188,1609,111
ENSG00000117650,47,6,131,114,7,3,19,12,58,23,14,6,6,4,22,29,18
ENSG00000117682,80,52,151,99,47,73,152,90,91,57,80,174,97,58,140,201,67
ENSG00000117691,458,233,767,258,155,189,330,208,311,197,210,268,281,265,341,957,179
